id,cuisines[0],cuisines[1],cuisines[2],cuisines[3],cuisines[4]
1872,Italian,Fast Food,,,
1873,Italian,North Indian,Fast Food,Japanese,Beverages
1874,Japanese,Italian,Chinese,North Indian,Beverages
1875,Mexican,Beverages,,,
1876,Italian,North Indian,Beverages,,
1877,North Indian,Beverages,Chinese,Japanese,South Indian
1878,Italian,Japanese,Korean,North Indian,
1879,Fast Food,Japanese,Mexican,Beverages,
1880,South Indian,Mexican,,,
1881,Chinese,,,,
1882,Fast Food,Italian,Japanese,,
1883,South Indian,Korean,,,
1884,Fast Food,Korean,,,
1885,Japanese,Chinese,South Indian,North Indian,Korean
1886,Fast Food,Korean,Mexican,Cold Drinks,Italian
1887,Cold Drinks,,,,
1888,Japanese,Mexican,,,
1889,North Indian,Korean,Beverages,,
1890,Cold Drinks,South Indian,Japanese,Beverages,Korean
1891,Fast Food,Beverages,,,
1892,Japanese,Beverages,North Indian,Chinese,South Indian
1893,Cold Drinks,Chinese,Japanese,Beverages,
1894,Italian,Japanese,,,
1895,Chinese,,,,
1896,Chinese,Korean,Cold Drinks,Italian,
1897,Italian,Mexican,,,
1898,North Indian,,,,
1899,Beverages,North Indian,Korean,Fast Food,
1900,Italian,South Indian,Japanese,,
1901,Italian,Korean,,,
1902,North Indian,,,,
1903,Korean,Chinese,,,
1904,Korean,Fast Food,South Indian,,
1905,Italian,Beverages,Japanese,North Indian,
1906,Korean,Chinese,Mexican,South Indian,Fast Food
1907,Chinese,Beverages,,,
1908,South Indian,Cold Drinks,Mexican,Italian,Chinese
1909,North Indian,Chinese,,,
1910,North Indian,Beverages,,,
1911,Korean,Chinese,,,
1912,Italian,South Indian,Japanese,Korean,Chinese
1913,Japanese,Fast Food,Italian,South Indian,
1914,North Indian,Korean,,,
1915,Chinese,Italian,Japanese,,
1916,Fast Food,Beverages,Korean,Chinese,
1917,Beverages,Chinese,North Indian,,
1918,Italian,Cold Drinks,Chinese,Fast Food,Korean
1919,Korean,Fast Food,Chinese,South Indian,
1920,Fast Food,Italian,Chinese,Beverages,
1921,Beverages,Fast Food,North Indian,,
1922,Cold Drinks,,,,
1923,Beverages,Cold Drinks,Mexican,Korean,
1924,Italian,Beverages,Korean,,
1925,Chinese,Italian,,,
1926,South Indian,Korean,,,
1927,North Indian,Fast Food,Chinese,Cold Drinks,
1928,Chinese,Italian,Fast Food,,
1929,Korean,Italian,Beverages,Japanese,North Indian
1930,Japanese,Chinese,Beverages,,
1931,North Indian,,,,
1932,Fast Food,North Indian,South Indian,Beverages,
1933,South Indian,Japanese,Cold Drinks,,
1934,Korean,,,,
1935,Beverages,South Indian,,,
1936,Fast Food,Chinese,,,
1937,North Indian,Korean,Mexican,Beverages,Japanese
1938,Korean,,,,
1939,Beverages,North Indian,Cold Drinks,Korean,
1940,Korean,Mexican,Cold Drinks,,
1941,Mexican,Italian,Chinese,,
1942,Beverages,Chinese,Mexican,Fast Food,Italian
1943,Mexican,Chinese,Cold Drinks,South Indian,
1944,Japanese,Italian,,,
1945,Mexican,North Indian,,,
1946,North Indian,South Indian,Chinese,Fast Food,Cold Drinks
1947,Mexican,North Indian,Japanese,Cold Drinks,
1948,Korean,Chinese,Japanese,Cold Drinks,South Indian
1949,North Indian,South Indian,Japanese,Cold Drinks,
1950,Fast Food,Cold Drinks,,,
1951,Korean,Fast Food,Chinese,Japanese,
1952,Italian,Beverages,Korean,South Indian,Cold Drinks
1953,North Indian,Mexican,South Indian,Chinese,Korean
1954,Korean,South Indian,Chinese,Beverages,Italian
1955,South Indian,Cold Drinks,Beverages,Fast Food,Korean
1956,Fast Food,Chinese,North Indian,Italian,
1957,Mexican,Beverages,South Indian,Italian,Cold Drinks
1958,Korean,Beverages,Mexican,Cold Drinks,Chinese
1959,South Indian,Chinese,Korean,Beverages,
1960,Cold Drinks,Chinese,Italian,Japanese,Korean
1961,Beverages,,,,
1962,Korean,,,,
1963,North Indian,Cold Drinks,Japanese,Chinese,Italian
1964,Japanese,Mexican,,,
1965,Mexican,Beverages,Korean,,
1966,Japanese,South Indian,Chinese,Cold Drinks,Beverages
1967,Fast Food,Cold Drinks,,,
1968,Italian,Fast Food,North Indian,Cold Drinks,
1969,South Indian,Japanese,Cold Drinks,Korean,
1970,Japanese,Mexican,,,
1971,Fast Food,Japanese,South Indian,,
1972,North Indian,Korean,Italian,Mexican,
1973,Cold Drinks,Beverages,North Indian,,
1974,Mexican,,,,
1975,Chinese,South Indian,,,
1976,Fast Food,South Indian,Chinese,Italian,
1977,Italian,Beverages,Japanese,Mexican,North Indian
1978,North Indian,Japanese,Fast Food,Italian,
1979,Chinese,South Indian,North Indian,Cold Drinks,Beverages
1980,Italian,Cold Drinks,Mexican,South Indian,Korean
1981,Fast Food,North Indian,,,
1982,Beverages,Italian,,,
1983,South Indian,,,,
1984,Korean,,,,
1985,Mexican,Chinese,,,
1986,Italian,,,,
1987,Beverages,South Indian,Korean,,
1988,Italian,,,,
1989,North Indian,Italian,,,
1990,South Indian,Fast Food,Mexican,Beverages,Japanese
1991,North Indian,Mexican,,,
1992,North Indian,,,,
1993,Korean,Chinese,,,
1994,Italian,,,,
1995,Mexican,Japanese,,,
1996,North Indian,Korean,Japanese,Cold Drinks,Beverages
1997,Beverages,Cold Drinks,,,
1998,Cold Drinks,Japanese,Chinese,Fast Food,
1999,Korean,North Indian,Japanese,South Indian,Chinese
2000,Fast Food,,,,
2001,Korean,South Indian,,,
2002,Italian,Beverages,Mexican,,
2003,Korean,,,,
2004,Korean,,,,
2005,Japanese,Korean,South Indian,,
2006,Japanese,,,,
2007,Fast Food,Chinese,Korean,Beverages,
2008,Korean,Fast Food,,,
2009,Fast Food,Italian,Cold Drinks,Chinese,Japanese
2010,Chinese,Cold Drinks,South Indian,Beverages,Mexican
2011,Japanese,Beverages,North Indian,Korean,Chinese
2012,Japanese,Chinese,Fast Food,,
2013,Italian,Chinese,Cold Drinks,,
2014,Fast Food,,,,
2015,Chinese,Beverages,Japanese,Fast Food,
2016,Cold Drinks,Korean,Fast Food,,
2017,South Indian,,,,
2018,South Indian,Korean,Italian,,
2019,Japanese,Chinese,Korean,Beverages,
2020,Cold Drinks,North Indian,Italian,Mexican,Fast Food
2021,Chinese,Mexican,,,
2022,Mexican,North Indian,South Indian,Fast Food,
2023,Italian,Beverages,Mexican,Korean,Cold Drinks
2024,Japanese,Cold Drinks,Mexican,Italian,South Indian
2025,South Indian,Fast Food,Chinese,,
2026,South Indian,Fast Food,Korean,Japanese,Chinese
2027,Cold Drinks,Mexican,,,
2028,Cold Drinks,,,,
2029,Beverages,,,,
2030,South Indian,Japanese,North Indian,,
2031,Beverages,Japanese,South Indian,,
2032,Beverages,Chinese,Italian,North Indian,South Indian
2033,Mexican,Cold Drinks,,,
2034,Cold Drinks,Beverages,Korean,,
2035,South Indian,Fast Food,,,
2036,South Indian,Korean,Chinese,,
2037,North Indian,South Indian,Cold Drinks,Chinese,Mexican
2038,Beverages,,,,
2039,Fast Food,Japanese,Cold Drinks,,
2040,North Indian,South Indian,Cold Drinks,Mexican,Fast Food
2041,Beverages,,,,
2042,Mexican,Chinese,Japanese,,
2043,Mexican,South Indian,Beverages,Italian,North Indian
2044,Korean,Beverages,Mexican,Chinese,
2045,Korean,South Indian,Beverages,North Indian,Mexican
2046,Fast Food,Korean,Beverages,North Indian,Cold Drinks
2047,Beverages,Chinese,Italian,Cold Drinks,
2048,South Indian,,,,
2049,Beverages,South Indian,Italian,Cold Drinks,Fast Food
2050,South Indian,,,,
2051,Chinese,South Indian,,,
2052,North Indian,Italian,Mexican,,
2053,Japanese,Beverages,Cold Drinks,Fast Food,Chinese
2054,Beverages,North Indian,Cold Drinks,South Indian,
2055,Japanese,North Indian,Fast Food,Cold Drinks,Mexican
2056,Mexican,Japanese,South Indian,Italian,Cold Drinks
2057,Mexican,Fast Food,,,
2058,Chinese,Korean,,,
2059,Cold Drinks,South Indian,Beverages,Italian,Chinese
2060,Korean,North Indian,Beverages,Japanese,
2061,Beverages,,,,
2062,Japanese,Beverages,,,
2063,Korean,Beverages,,,
2064,Japanese,Cold Drinks,,,
2065,Beverages,North Indian,Fast Food,,
2066,North Indian,South Indian,Japanese,,
2067,Italian,Korean,Mexican,,
2068,Fast Food,Italian,Cold Drinks,Korean,North Indian
2069,Italian,Mexican,Japanese,North Indian,
2070,Beverages,North Indian,Mexican,Fast Food,
2071,Cold Drinks,South Indian,Korean,Italian,
2072,Japanese,Chinese,Beverages,,
2073,Cold Drinks,,,,
2074,Mexican,Cold Drinks,Fast Food,,
2075,Cold Drinks,North Indian,,,
2076,Korean,Japanese,Fast Food,North Indian,
2077,Korean,Italian,Cold Drinks,Beverages,Mexican
2078,Chinese,Mexican,Beverages,,
2079,Fast Food,Chinese,South Indian,North Indian,Beverages
2080,North Indian,,,,
2081,Cold Drinks,,,,
2082,South Indian,Italian,Japanese,North Indian,Chinese
2083,Japanese,North Indian,,,
2084,Japanese,South Indian,North Indian,Fast Food,
2085,Beverages,Chinese,,,
2086,North Indian,Japanese,,,
2087,Beverages,,,,
2088,Beverages,Mexican,Italian,,
2089,Mexican,South Indian,,,
2090,North Indian,,,,
2091,Japanese,Cold Drinks,North Indian,,
2092,Cold Drinks,North Indian,Korean,Italian,Beverages
2093,Japanese,Fast Food,Chinese,Korean,Beverages
2094,Cold Drinks,,,,
2095,Mexican,Cold Drinks,North Indian,,
2096,North Indian,Cold Drinks,Korean,,
2097,Beverages,Chinese,Mexican,Cold Drinks,South Indian
2098,South Indian,Beverages,Italian,,
2099,Fast Food,Italian,Beverages,North Indian,
2100,South Indian,Beverages,Korean,Mexican,
2101,Italian,Cold Drinks,South Indian,Beverages,
2102,Cold Drinks,,,,
2103,Chinese,Cold Drinks,,,
2104,Fast Food,South Indian,,,
2105,Fast Food,Beverages,Mexican,South Indian,
2106,South Indian,Korean,Italian,Fast Food,
2107,Italian,Japanese,South Indian,Fast Food,Chinese
2108,Chinese,Fast Food,North Indian,,
2109,Chinese,,,,
2110,Japanese,Mexican,Cold Drinks,North Indian,Beverages
2111,Mexican,Japanese,,,
2112,Chinese,,,,
2113,Japanese,Chinese,South Indian,Korean,
2114,Beverages,Fast Food,Japanese,Mexican,Korean
2115,Cold Drinks,Mexican,Beverages,,
2116,Mexican,Japanese,Italian,,
2117,Beverages,Fast Food,Cold Drinks,Japanese,Mexican
2118,North Indian,Chinese,Japanese,Fast Food,
2119,Fast Food,,,,
2120,Italian,Beverages,,,
2121,Chinese,Italian,,,
2122,Chinese,North Indian,Fast Food,South Indian,
2123,Mexican,Cold Drinks,Chinese,Italian,Beverages
2124,North Indian,South Indian,Cold Drinks,Italian,Beverages
2125,Italian,Fast Food,North Indian,,
2126,North Indian,Beverages,Chinese,Korean,Japanese
2127,Japanese,Cold Drinks,Italian,,
2128,Mexican,,,,
2129,South Indian,,,,
2130,Cold Drinks,Fast Food,,,
2131,Fast Food,,,,
2132,Japanese,North Indian,Italian,South Indian,
2133,Cold Drinks,Japanese,Italian,,
2134,Mexican,South Indian,,,
2135,Cold Drinks,Italian,Beverages,,
2136,Chinese,,,,
2137,Korean,Chinese,South Indian,Japanese,
2138,South Indian,Fast Food,,,
2139,Chinese,,,,
2140,Cold Drinks,South Indian,,,
2141,Italian,,,,
2142,Italian,,,,
2143,Fast Food,Mexican,South Indian,,
2144,Fast Food,Beverages,Italian,Chinese,Cold Drinks
2145,North Indian,Japanese,,,
2146,Mexican,Korean,,,
2147,Italian,,,,
2148,North Indian,Mexican,,,
2149,Japanese,Mexican,Korean,Beverages,
2150,South Indian,Japanese,,,
2151,Mexican,Korean,Italian,Cold Drinks,North Indian
2152,Beverages,South Indian,Cold Drinks,Korean,Fast Food
2153,Italian,,,,
2154,Italian,Beverages,Cold Drinks,,
2155,Cold Drinks,North Indian,,,
2156,Italian,Chinese,South Indian,,
2157,Korean,Chinese,,,
2158,South Indian,Japanese,,,
2159,South Indian,Italian,Mexican,Chinese,Beverages
2160,Japanese,,,,
2161,Cold Drinks,Mexican,,,
2162,Chinese,Beverages,North Indian,Italian,
2163,North Indian,Italian,,,
2164,South Indian,Cold Drinks,Mexican,,
2165,North Indian,South Indian,Fast Food,Mexican,Chinese
2166,Beverages,Fast Food,Japanese,Italian,
2167,Cold Drinks,South Indian,,,
2168,Fast Food,Korean,,,
2169,South Indian,,,,
2170,North Indian,Fast Food,Italian,,
2171,Mexican,Cold Drinks,Japanese,Fast Food,
2172,Korean,Japanese,Beverages,Chinese,
2173,North Indian,Fast Food,Cold Drinks,Beverages,Korean
2174,Chinese,Fast Food,,,
2175,North Indian,Fast Food,,,
2176,South Indian,,,,
2177,Fast Food,Mexican,South Indian,Chinese,Korean
2178,Beverages,Italian,Japanese,,
2179,Fast Food,Cold Drinks,Beverages,South Indian,Mexican
2180,North Indian,,,,
2181,Fast Food,Cold Drinks,,,
2182,Beverages,,,,
2183,Chinese,Beverages,Cold Drinks,,
2184,Beverages,Chinese,Cold Drinks,Japanese,Korean
2185,Italian,Beverages,Chinese,,
2186,Cold Drinks,Japanese,,,
2187,Fast Food,Italian,Beverages,,
2188,Chinese,Beverages,Mexican,Italian,
2189,Mexican,,,,
2190,Fast Food,Cold Drinks,North Indian,Mexican,
2191,North Indian,Mexican,Chinese,Korean,Fast Food
2192,Korean,,,,
2193,Mexican,,,,
2194,North Indian,South Indian,,,
2195,Japanese,Cold Drinks,Mexican,Italian,
2196,Italian,Japanese,,,
2197,Fast Food,,,,
2198,Beverages,Japanese,,,
2199,Cold Drinks,Mexican,South Indian,,
2200,Italian,South Indian,Japanese,,
2201,South Indian,Cold Drinks,Korean,Chinese,Mexican
2202,Mexican,Beverages,,,
2203,Fast Food,Japanese,South Indian,Beverages,
2204,Beverages,Mexican,,,
2205,Fast Food,Cold Drinks,,,
2206,Korean,Italian,Japanese,Mexican,
2207,Cold Drinks,Korean,Chinese,,
2208,Beverages,,,,
2209,Beverages,Cold Drinks,South Indian,Italian,
2210,Fast Food,Cold Drinks,Italian,,
2211,North Indian,Fast Food,Japanese,Cold Drinks,Beverages
2212,Fast Food,Korean,Chinese,Beverages,Japanese
2213,Chinese,Italian,Korean,,
2214,Fast Food,South Indian,,,
2215,Japanese,Chinese,Beverages,Mexican,
2216,Beverages,North Indian,Cold Drinks,,
2217,South Indian,Beverages,,,
2218,Mexican,,,,
2219,North Indian,Italian,South Indian,Chinese,Mexican
2220,Chinese,Beverages,Fast Food,Italian,
2221,Chinese,North Indian,Fast Food,Cold Drinks,
2222,Chinese,South Indian,Cold Drinks,,
2223,Fast Food,Cold Drinks,,,
2224,Japanese,,,,
2225,Mexican,North Indian,Cold Drinks,,
2226,Fast Food,Italian,Japanese,,
2227,Cold Drinks,Korean,Japanese,Mexican,
2228,Mexican,Cold Drinks,,,
2229,Korean,Japanese,Beverages,,
2230,North Indian,Fast Food,,,
2231,Fast Food,Mexican,,,
2232,Italian,,,,
2233,Italian,,,,
2234,Fast Food,,,,
2235,Mexican,North Indian,South Indian,Cold Drinks,
2236,Japanese,,,,
2237,Mexican,South Indian,Italian,,
2238,Japanese,Chinese,Fast Food,,
2239,Cold Drinks,Beverages,North Indian,,
2240,Fast Food,Chinese,South Indian,Cold Drinks,
2241,Beverages,,,,
2242,Cold Drinks,,,,
2243,Italian,Mexican,Beverages,Fast Food,Chinese
2244,Korean,Japanese,Mexican,Fast Food,Italian
2245,Chinese,Beverages,Japanese,Fast Food,South Indian
2246,Beverages,Fast Food,,,
2247,Chinese,North Indian,Fast Food,Korean,
2248,Mexican,Fast Food,Italian,,
2249,North Indian,Beverages,South Indian,Japanese,Fast Food
2250,Fast Food,,,,
2251,Chinese,Japanese,,,
2252,Beverages,Japanese,,,
2253,Cold Drinks,Korean,Mexican,,
2254,Italian,Beverages,Fast Food,Cold Drinks,Mexican
2255,Italian,Korean,,,
2256,Cold Drinks,,,,
2257,Korean,,,,
2258,Fast Food,Mexican,Italian,,
2259,South Indian,,,,
2260,North Indian,,,,
2261,Beverages,Fast Food,North Indian,Cold Drinks,
2262,South Indian,Korean,,,
2263,South Indian,Chinese,Beverages,Korean,Italian
2264,South Indian,Beverages,Fast Food,Italian,Cold Drinks
2265,South Indian,Chinese,Beverages,,
2266,Fast Food,Cold Drinks,Italian,Chinese,Mexican
2267,Mexican,South Indian,Cold Drinks,Korean,Italian
2268,Cold Drinks,Italian,South Indian,,
2269,Italian,North Indian,,,
2270,Chinese,Fast Food,,,
2271,North Indian,Mexican,Chinese,Korean,Cold Drinks
2272,Japanese,Italian,,,
2273,Cold Drinks,Beverages,Japanese,Mexican,Fast Food
2274,Korean,,,,
2275,South Indian,Fast Food,Korean,Chinese,North Indian
2276,Mexican,South Indian,,,
2277,Chinese,Japanese,South Indian,Cold Drinks,North Indian
2278,Italian,South Indian,Korean,Fast Food,Cold Drinks
2279,Korean,North Indian,Chinese,,
2280,Chinese,Mexican,Korean,,
2281,South Indian,Fast Food,,,
2282,Chinese,Mexican,Korean,Italian,Japanese
2283,Fast Food,Chinese,Beverages,South Indian,
2284,Korean,Italian,Chinese,Beverages,Cold Drinks
2285,Cold Drinks,Italian,Mexican,North Indian,
2286,Chinese,Cold Drinks,South Indian,Beverages,Italian
2287,Fast Food,South Indian,Italian,North Indian,
2288,Fast Food,Japanese,,,
2289,North Indian,South Indian,,,
2290,Chinese,,,,
2291,North Indian,Korean,Japanese,Fast Food,Beverages
2292,Mexican,Italian,Japanese,Chinese,South Indian
2293,Japanese,South Indian,,,
2294,Korean,Japanese,Italian,Cold Drinks,North Indian
2295,Korean,Japanese,Italian,North Indian,Beverages
2296,South Indian,Chinese,Fast Food,Korean,North Indian
2297,South Indian,,,,
2298,Korean,Mexican,,,
2299,Chinese,Japanese,,,
2300,North Indian,Cold Drinks,Chinese,Italian,
2301,Cold Drinks,Chinese,South Indian,,
2302,Japanese,Korean,,,
2303,North Indian,Chinese,Italian,South Indian,Mexican
2304,Chinese,North Indian,Korean,,
2305,Mexican,Beverages,North Indian,Cold Drinks,South Indian
2306,Korean,North Indian,Cold Drinks,Beverages,Mexican
2307,Italian,,,,
2308,Chinese,Korean,Fast Food,Italian,Mexican
2309,North Indian,,,,
2310,Mexican,Chinese,,,
2311,Italian,Japanese,Chinese,South Indian,
2312,Beverages,North Indian,Fast Food,Mexican,
2313,Korean,,,,
2314,North Indian,,,,
2315,Cold Drinks,Japanese,Mexican,Korean,
2316,Chinese,Cold Drinks,South Indian,Korean,
2317,North Indian,Fast Food,Italian,Cold Drinks,
2318,Beverages,Korean,Cold Drinks,Mexican,
2319,Italian,North Indian,,,
2320,Italian,Cold Drinks,Korean,North Indian,Japanese
2321,Japanese,Italian,Beverages,Mexican,North Indian
2322,Beverages,Japanese,Chinese,Italian,
2323,Japanese,North Indian,Korean,Chinese,
2324,Cold Drinks,,,,
2325,Fast Food,Japanese,,,
2326,Chinese,Fast Food,Mexican,North Indian,
2327,Fast Food,Mexican,,,
2328,Chinese,Italian,Japanese,Mexican,
2329,Mexican,Japanese,Cold Drinks,Italian,North Indian
2330,Japanese,,,,
2331,Fast Food,Mexican,Cold Drinks,South Indian,Chinese
2332,Cold Drinks,,,,
2333,Korean,Chinese,,,
2334,Cold Drinks,Korean,,,
2335,Fast Food,Cold Drinks,Beverages,South Indian,
2336,Cold Drinks,Fast Food,North Indian,Mexican,Chinese
2337,Korean,Japanese,Cold Drinks,,
2338,North Indian,Mexican,Fast Food,,
2339,North Indian,South Indian,Chinese,Fast Food,Beverages
2340,Korean,,,,
2341,Japanese,,,,
2342,Japanese,Fast Food,South Indian,Italian,
2343,Chinese,North Indian,Beverages,Fast Food,
2344,Japanese,Italian,Korean,Beverages,
2345,Chinese,Beverages,North Indian,,
2346,Cold Drinks,Korean,Italian,,
2347,Chinese,,,,
2348,North Indian,Japanese,South Indian,Korean,Cold Drinks
2349,South Indian,Japanese,Mexican,,
2350,South Indian,,,,
2351,North Indian,Japanese,Fast Food,,
2352,Cold Drinks,Japanese,Korean,Fast Food,North Indian
2353,Mexican,South Indian,,,
2354,North Indian,Chinese,Japanese,,
2355,Fast Food,,,,
2356,Chinese,Japanese,Cold Drinks,North Indian,
2357,Fast Food,,,,
2358,Mexican,,,,
2359,Mexican,Korean,Japanese,Cold Drinks,
2360,Italian,Cold Drinks,,,
2361,Italian,,,,
2362,Italian,North Indian,,,
2363,Mexican,Italian,,,
2364,Beverages,Italian,Cold Drinks,North Indian,Japanese
2365,Fast Food,Mexican,North Indian,Korean,Japanese
2366,Chinese,Japanese,Italian,Fast Food,Beverages
2367,Japanese,South Indian,,,
2368,Korean,Cold Drinks,,,
2369,Korean,Mexican,,,
2370,Cold Drinks,,,,
2371,Chinese,,,,
2372,North Indian,,,,
2373,Italian,Japanese,South Indian,Mexican,
2374,Korean,Italian,,,
2375,Italian,Mexican,Japanese,North Indian,Cold Drinks
2376,Chinese,Beverages,Italian,,
2377,Mexican,North Indian,Cold Drinks,Beverages,
2378,Fast Food,,,,
2379,Mexican,Beverages,Fast Food,Cold Drinks,North Indian
2380,Italian,Mexican,Japanese,Korean,Beverages
2381,Chinese,Beverages,Japanese,South Indian,Mexican
2382,Fast Food,South Indian,Italian,Cold Drinks,Chinese
2383,South Indian,Mexican,,,
2384,Cold Drinks,,,,
2385,North Indian,Italian,Japanese,Korean,
2386,North Indian,Fast Food,Cold Drinks,Mexican,
2387,Cold Drinks,Beverages,Korean,,
2388,Beverages,Mexican,Korean,South Indian,
2389,North Indian,Mexican,Chinese,,
2390,Mexican,,,,
2391,North Indian,Mexican,South Indian,Cold Drinks,Italian
2392,Italian,Cold Drinks,Korean,Mexican,Fast Food
2393,Chinese,North Indian,Fast Food,Cold Drinks,
2394,Mexican,Italian,Cold Drinks,South Indian,
2395,Italian,,,,
2396,South Indian,,,,
2397,Beverages,,,,
2398,Korean,Fast Food,,,
2399,Beverages,,,,
2400,Fast Food,Mexican,Japanese,Italian,
2401,Cold Drinks,Beverages,Korean,,
2402,Chinese,Mexican,Beverages,North Indian,Japanese
2403,North Indian,Chinese,Japanese,,
2404,Cold Drinks,Japanese,South Indian,North Indian,
2405,Beverages,Cold Drinks,Mexican,Fast Food,Italian
2406,Japanese,South Indian,Cold Drinks,Italian,
2407,Fast Food,South Indian,Cold Drinks,Mexican,North Indian
2408,Korean,Japanese,Chinese,Italian,South Indian
2409,Japanese,North Indian,Italian,South Indian,
2410,Mexican,Fast Food,Japanese,Italian,
2411,South Indian,Fast Food,Beverages,,
2412,Mexican,,,,
2413,Beverages,Cold Drinks,Fast Food,,
2414,Japanese,Cold Drinks,Mexican,,
2415,Mexican,,,,
2416,Mexican,Japanese,Korean,,
2417,Chinese,Fast Food,Mexican,North Indian,
2418,Chinese,Cold Drinks,Mexican,,
2419,North Indian,Chinese,Beverages,Korean,Italian
2420,South Indian,,,,
2421,Japanese,South Indian,Fast Food,North Indian,
2422,Chinese,Fast Food,,,
2423,South Indian,Japanese,Cold Drinks,Mexican,Fast Food
2424,Mexican,North Indian,,,
2425,Beverages,North Indian,Chinese,Japanese,
2426,Italian,Mexican,Korean,,
2427,Japanese,,,,
2428,North Indian,South Indian,,,
2429,Mexican,Korean,,,
2430,South Indian,,,,
2431,Fast Food,Korean,,,
2432,Fast Food,,,,
2433,Italian,Mexican,Beverages,South Indian,Fast Food
2434,Beverages,Fast Food,North Indian,,
2435,Fast Food,Beverages,,,
2436,South Indian,Japanese,Fast Food,,
2437,Mexican,North Indian,,,
2438,South Indian,,,,
2439,Italian,North Indian,Beverages,,
2440,South Indian,,,,
2441,Cold Drinks,Fast Food,North Indian,Mexican,
2442,Fast Food,,,,
2443,Korean,Fast Food,Beverages,South Indian,
2444,Beverages,Fast Food,,,
2445,North Indian,,,,
2446,Chinese,North Indian,Japanese,,
2447,Fast Food,Cold Drinks,Italian,Japanese,
2448,Japanese,,,,
2449,Japanese,Chinese,Korean,,
2450,North Indian,Korean,Beverages,Japanese,Chinese
2451,Italian,North Indian,Cold Drinks,,
2452,Cold Drinks,Korean,Beverages,South Indian,Mexican
2453,Chinese,Cold Drinks,Beverages,,
2454,Fast Food,Cold Drinks,,,
2455,North Indian,Fast Food,Mexican,Korean,Japanese
2456,North Indian,Cold Drinks,,,
2457,Korean,Cold Drinks,Chinese,,
2458,North Indian,Italian,,,
2459,Italian,Chinese,Korean,Cold Drinks,Mexican
2460,Mexican,Italian,North Indian,Beverages,Japanese
2461,Chinese,Korean,Cold Drinks,,
2462,Japanese,,,,
2463,North Indian,,,,
2464,North Indian,,,,
2465,Japanese,Chinese,Cold Drinks,Korean,Italian
2466,Beverages,Italian,North Indian,Chinese,Japanese
2467,Korean,South Indian,,,
2468,Fast Food,Beverages,Korean,South Indian,Mexican
2469,Italian,Cold Drinks,Fast Food,,
2470,Beverages,North Indian,Korean,,
2471,Italian,Beverages,Korean,North Indian,
2472,Japanese,Cold Drinks,Chinese,Italian,
2473,Italian,Japanese,South Indian,Mexican,
2474,Italian,Japanese,Cold Drinks,Fast Food,
2475,North Indian,Korean,Cold Drinks,Mexican,South Indian
2476,Japanese,South Indian,,,
2477,South Indian,Mexican,Cold Drinks,Japanese,Chinese
2478,Chinese,,,,
2479,Mexican,Japanese,Italian,,
2480,Fast Food,Chinese,Beverages,,
2481,Beverages,Korean,Italian,,
2482,Cold Drinks,,,,
2483,Cold Drinks,Korean,Fast Food,North Indian,Mexican
2484,South Indian,Cold Drinks,,,
2485,Italian,Chinese,,,
2486,Fast Food,Mexican,Japanese,Beverages,
2487,North Indian,Korean,Fast Food,Cold Drinks,Italian
2488,Japanese,South Indian,,,
2489,Beverages,,,,
2490,South Indian,Fast Food,,,
2491,Japanese,South Indian,North Indian,,
2492,Cold Drinks,Fast Food,Korean,,
2493,Fast Food,Cold Drinks,Japanese,Chinese,
2494,Mexican,Italian,South Indian,North Indian,
2495,Korean,Italian,,,
2496,Italian,Beverages,,,
2497,Beverages,Japanese,Korean,North Indian,South Indian
2498,Korean,,,,
2499,North Indian,Japanese,Cold Drinks,Mexican,
2500,Cold Drinks,Japanese,Italian,,
2501,Korean,Cold Drinks,Fast Food,Italian,Beverages
2502,South Indian,Cold Drinks,,,
2503,Cold Drinks,,,,
2504,Cold Drinks,Beverages,Italian,,
2505,South Indian,Mexican,Japanese,Korean,
2506,Chinese,Korean,,,
2507,South Indian,Japanese,North Indian,Korean,
2508,Fast Food,North Indian,Japanese,,
2509,Korean,,,,
2510,Mexican,Cold Drinks,South Indian,,
2511,Chinese,Japanese,,,
2512,Fast Food,Cold Drinks,South Indian,,
2513,North Indian,Chinese,,,
2514,North Indian,Japanese,South Indian,Fast Food,
2515,South Indian,Japanese,Beverages,North Indian,Korean
2516,Korean,Chinese,,,
2517,Italian,South Indian,,,
2518,Chinese,Japanese,,,
2519,Italian,Cold Drinks,,,
2520,Beverages,North Indian,Mexican,Cold Drinks,
2521,Beverages,,,,
2522,Cold Drinks,Beverages,Korean,,
2523,Beverages,South Indian,Italian,Fast Food,
2524,Fast Food,,,,
2525,Cold Drinks,North Indian,Chinese,,
2526,Italian,,,,
2527,Beverages,South Indian,North Indian,Korean,Japanese
2528,North Indian,,,,
2529,Mexican,North Indian,Beverages,South Indian,
2530,North Indian,Mexican,Beverages,South Indian,Korean
2531,Mexican,,,,
2532,Korean,Mexican,Japanese,Italian,
2533,Mexican,Japanese,Fast Food,Italian,
2534,Cold Drinks,Beverages,,,
2535,Fast Food,Mexican,,,
2536,Cold Drinks,,,,
2537,Cold Drinks,,,,
2538,Japanese,Fast Food,,,
2539,Cold Drinks,,,,
2540,North Indian,Chinese,South Indian,,
2541,North Indian,Korean,South Indian,,
2542,Fast Food,South Indian,Italian,,
2543,Fast Food,Korean,North Indian,Mexican,Beverages
2544,Korean,South Indian,Japanese,,
